Technology,Year,Power_kW,Hub_m,Dia_m,X_coord,Y_coord,PS_Year,PS_Hub,PS_Dia
wind power,"2002","1500",61.50000000000,77.00000000000,4293532.67834999970,2824386.34695000020,,,
wind power,"2002","1500",61.50000000000,77.00000000000,4294121.15304999980,2824453.29079000000,,,
wind power,"1999","750",70.00000000000,48.00000000000,4293604.42236999980,2808700.25319000010,,,
wind power,"1999","750",70.00000000000,48.00000000000,4293591.09482999980,2808876.15584000010,,,
wind power,"2012","2000",138.38000000000,82.00000000000,4303178.98297999990,2815049.17522000010,,,
wind power,"2012","2000",138.38000000000,82.00000000000,4303544.09413999970,2814983.88470999990,,,
wind power,"2012","2000",138.38000000000,82.00000000000,4303459.93193000000,2815348.06094999980,,,
wind power,"1998","600",70.00000000000,48.00000000000,4293799.26389000010,2824661.26055999980,,,
wind power,"2001","1500",65.00000000000,70.00000000000,4293630.69043000040,2824785.36517000010,,,
wind power,"2001","1300",80.00000000000,62.00000000000,4315245.10388000030,2834878.86046000010,,,
wind power,"2002","1300",80.00000000000,62.00000000000,4315625.81188999950,2834768.89680999980,,,
wind power,"2002","1300",80.00000000000,62.00000000000,4309110.62729999980,2828328.79455999980,,,
wind power,"2012","2000",125.00000000000,90.00000000000,4316707.61411000040,2828405.50348000000,,,
wind power,"2009","2000",98.30000000000,82.00000000000,4302238.80255000010,2814740.48766000010,,,
wind power,"2013","2400",140.60000000000,117.00000000000,4311879.64063000030,2817744.32186000000,,,
wind power,"2013","2400",140.60000000000,117.00000000000,4311552.14699999990,2817017.72396000010,,,
wind power,"2013","2400",140.60000000000,117.00000000000,4312248.19880000040,2817492.15713999980,,,
wind power,"1999","600",60.00000000000,46.00000000000,4307387.01252999990,2824756.73796000010,,,
wind power,"1999","600",60.00000000000,46.00000000000,4307637.11961000040,2824680.47067000020,,,
wind power,"2002","660",76.00000000000,47.00000000000,4316353.35687999990,2828845.39440000010,,,
wind power,"2002","660",76.00000000000,47.00000000000,4316158.61983000020,2828618.31066000000,,,
wind power,"2002","660",76.00000000000,47.00000000000,4316505.44514000040,2828576.59555999980,,,
wind power,"2002","660",76.00000000000,47.00000000000,4316585.89989999960,2828849.83182000000,,,
wind power,"2002","600",77.90000000000,44.00000000000,4302955.35424999990,2813949.22769000010,,,
wind power,"2000","750",70.00000000000,48.00000000000,4300562.13838000040,2815549.02146000000,,,
wind power,"2000","750",70.00000000000,48.00000000000,4300522.55590999960,2815353.61505000010,,,
wind power,"1998","600",70.00000000000,48.00000000000,4309492.99210000040,2828496.70268000010,,,
wind power,"1998","600",70.00000000000,48.00000000000,4309432.59095999970,2827934.69187000020,,,
wind power,"1998","600",70.00000000000,48.00000000000,4309232.33824000040,2828074.28070000000,,,
wind power,"1998","600",70.00000000000,48.00000000000,4309534.38111000040,2828220.25289000010,,,
wind power,"2008","2000",100.00000000000,92.00000000000,4321584.30205999970,2824676.68312999980,,,
wind power,"2008","2000",100.00000000000,92.00000000000,4321560.68004999960,2824133.39583999990,,,
